State,Year,Month,Average Temperature
Missouri,1840,June,23.352
Missouri,1840,July,24.015
Missouri,1860,December,-1.111
Missouri,1860,January,-0.857
Missouri,1860,February,1.768
Missouri,1860,November,4.921
Missouri,1860,March,8.777
Missouri,1860,October,13.629
Missouri,1860,April,13.721
Missouri,1860,September,19.619
Missouri,1860,May,20.105
Missouri,1860,June,23.382
Missouri,1860,August,24.584
Missouri,1860,July,26.34
Missouri,1880,December,-2.98
Missouri,1880,November,0.083
Missouri,1880,February,3.246
Missouri,1880,March,5.946
Missouri,1880,January,6.097
Missouri,1880,October,11.804
Missouri,1880,April,13.407
Missouri,1880,September,18.333
Missouri,1880,May,20.868
Missouri,1880,June,22.844
Missouri,1880,July,24.43
Missouri,1880,August,24.452
Missouri,1900,February,-3.265
Missouri,1900,January,1.106
Missouri,1900,December,1.571
Missouri,1900,March,4.706
Missouri,1900,November,6.148
Missouri,1900,April,13.261
Missouri,1900,October,16.32
Missouri,1900,May,18.675
Missouri,1900,September,21.536
Missouri,1900,June,22.502
Missouri,1900,July,24.601
Missouri,1900,August,26.56
Missouri,1920,January,-2.352
Missouri,1920,February,1.152
Missouri,1920,December,1.68
Missouri,1920,November,4.805
Missouri,1920,March,6.898
Missouri,1920,April,9.732
Missouri,1920,October,15.636
Missouri,1920,May,17.37
Missouri,1920,September,20.837
Missouri,1920,June,22.205
Missouri,1920,August,22.491
Missouri,1920,July,24.327
Missouri,1940,January,-9.761
Missouri,1940,February,0.165
Missouri,1940,December,2.942
Missouri,1940,November,5.078
Missouri,1940,March,5.611
Missouri,1940,April,11.658
Missouri,1940,October,16.524
Missouri,1940,May,16.636
Missouri,1940,September,19.965
Missouri,1940,June,22.744
Missouri,1940,August,23.774
Missouri,1940,July,25.199
Missouri,1960,February,-1.409
Missouri,1960,March,-1.15
Missouri,1960,December,-0.621
Missouri,1960,January,-0.366
Missouri,1960,November,7.67
Missouri,1960,April,13.974
Missouri,1960,October,14.704
Missouri,1960,May,16.984
Missouri,1960,September,22.133
Missouri,1960,June,22.344
Missouri,1960,July,24.054
Missouri,1960,August,25.138
Missouri,1980,February,-2.125
Missouri,1980,January,-0.474
Missouri,1980,December,1.529
Missouri,1980,March,4.597
Missouri,1980,November,7.093
Missouri,1980,April,12.221
Missouri,1980,October,12.617
Missouri,1980,May,18.355
Missouri,1980,September,22.036
Missouri,1980,June,23.879
Missouri,1980,August,27.492
Missouri,1980,July,29.099
Missouri,2000,December,-5.89
Missouri,2000,January,0.568
Missouri,2000,November,4.634
Missouri,2000,February,5.576
Missouri,2000,March,9.253
Missouri,2000,April,12.636
Missouri,2000,October,15.925
Missouri,2000,May,20.068
Missouri,2000,September,21.164
Missouri,2000,June,22.348
Missouri,2000,July,25.083
Missouri,2000,August,26.996
Nebraska,1820,January,-9.817
Nebraska,1820,December,-6.92
Nebraska,1820,February,-3.348
Nebraska,1820,March,0.139
Nebraska,1820,November,0.77
Nebraska,1820,October,8.753
Nebraska,1820,April,9.897
Nebraska,1820,May,14.41
Nebraska,1820,September,16.389
Nebraska,1820,August,20.07
Nebraska,1820,June,20.237
Nebraska,1820,July,21.239
Nebraska,1840,January,-5.841
Nebraska,1840,December,-3.145
Nebraska,1840,February,-2.775
Nebraska,1840,November,0.606
Nebraska,1840,March,2.255
Nebraska,1840,October,7.651
Nebraska,1840,April,8.486
Nebraska,1840,September,15.137
Nebraska,1840,May,15.162
Nebraska,1840,June,20.789
Nebraska,1840,August,20.838
Nebraska,1840,July,22.986
Nebraska,1860,January,-5.393
Nebraska,1860,December,-4.374
Nebraska,1860,February,-2.917
Nebraska,1860,November,1.212
Nebraska,1860,March,4.858
Nebraska,1860,April,8.693
Nebraska,1860,October,10.262
Nebraska,1860,May,15.713
Nebraska,1860,September,16.701
Nebraska,1860,June,20.735
Nebraska,1860,August,21.872
Nebraska,1860,July,23.879
Nebraska,1880,December,-8.302
Nebraska,1880,November,-4.68
Nebraska,1880,February,-2.432
Nebraska,1880,January,-0.977
Nebraska,1880,March,0.108
Nebraska,1880,October,8.158
Nebraska,1880,April,8.419
Nebraska,1880,September,16.289
Nebraska,1880,May,17.746
Nebraska,1880,June,20.73
Nebraska,1880,August,22.48
Nebraska,1880,July,23.059
Nebraska,1900,February,-6.595
Nebraska,1900,January,-1.605
Nebraska,1900,December,-0.71
Nebraska,1900,November,1.34
Nebraska,1900,March,1.938
Nebraska,1900,April,10.142
Nebraska,1900,October,12.513
Nebraska,1900,May,17.019
Nebraska,1900,September,17.297
Nebraska,1900,June,21.817
Nebraska,1900,July,23.022
Nebraska,1900,August,24.512
Nebraska,1920,January,-3.491
Nebraska,1920,December,-3.438
Nebraska,1920,February,-2.18
Nebraska,1920,November,0.822
Nebraska,1920,March,2.596
Nebraska,1920,April,3.959
Nebraska,1920,October,12.256
Nebraska,1920,May,13.938
Nebraska,1920,September,17.777
Nebraska,1920,June,19.818
Nebraska,1920,August,20.554
Nebraska,1920,July,22.936
Nebraska,1940,January,-11.871
Nebraska,1940,February,-2.842
Nebraska,1940,December,-1.707
Nebraska,1940,November,0.23
Nebraska,1940,March,2.482
Nebraska,1940,April,8.172
Nebraska,1940,October,13.767
Nebraska,1940,May,14.932
Nebraska,1940,September,19.961
Nebraska,1940,June,21.444
Nebraska,1940,August,22.245
Nebraska,1940,July,25.942
Nebraska,1960,February,-7.229
Nebraska,1960,January,-6.461
Nebraska,1960,December,-3.125
Nebraska,1960,March,-3.03
Nebraska,1960,November,3.56
Nebraska,1960,April,9.868
Nebraska,1960,October,11.528
Nebraska,1960,May,14.597
Nebraska,1960,September,18.362
Nebraska,1960,June,19.534
Nebraska,1960,August,23.026
Nebraska,1960,July,23.347
Nebraska,1980,January,-5.247
Nebraska,1980,February,-3.949
Nebraska,1980,December,-0.715
Nebraska,1980,March,0.715
Nebraska,1980,November,4.593
Nebraska,1980,April,9.47
Nebraska,1980,October,10.006
Nebraska,1980,May,15.185
Nebraska,1980,September,18.578
Nebraska,1980,June,21.907
Nebraska,1980,August,23.456
Nebraska,1980,July,25.918
Nebraska,2000,December,-7.44
Nebraska,2000,January,-2.024
Nebraska,2000,November,-1.85
Nebraska,2000,February,1.719
Nebraska,2000,March,5.687
Nebraska,2000,April,9.417
Nebraska,2000,October,11.72
Nebraska,2000,May,16.827
Nebraska,2000,September,18.571
Nebraska,2000,June,20.207
Nebraska,2000,July,24.476
Nebraska,2000,August,25.026
North Dakota,1820,January,-18.189
North Dakota,1820,December,-13.907
North Dakota,1820,February,-11.683
North Dakota,1820,March,-6.287
North Dakota,1820,November,-4.359
North Dakota,1820,October,4.851
North Dakota,1820,April,6.029
North Dakota,1820,May,11.59
North Dakota,1820,September,13.007
North Dakota,1820,August,16.824
North Dakota,1820,June,17.411
North Dakota,1820,July,18.128
North Dakota,1840,January,-12.679
North Dakota,1840,February,-12.17
North Dakota,1840,December,-10.205
North Dakota,1840,March,-4.446
North Dakota,1840,November,-3.84
North Dakota,1840,October,3.292
North Dakota,1840,April,3.793
North Dakota,1840,September,12.442
North Dakota,1840,May,12.644
North Dakota,1840,August,17.249
North Dakota,1840,June,17.645
North Dakota,1840,July,20.972
North Dakota,1860,January,-13.533
North Dakota,1860,December,-11.534
North Dakota,1860,February,-11.105
North Dakota,1860,November,-3.845
North Dakota,1860,March,-1.768
North Dakota,1860,April,3.931
North Dakota,1860,October,5.906
North Dakota,1860,May,11.933
North Dakota,1860,September,12.032
North Dakota,1860,June,17.119
North Dakota,1860,August,18.008
North Dakota,1860,July,19.666
North Dakota,1880,December,-16.584
North Dakota,1880,February,-11.166
North Dakota,1880,January,-11.061
North Dakota,1880,November,-8.144
North Dakota,1880,March,-7.725
North Dakota,1880,April,2.096
North Dakota,1880,October,4.982
North Dakota,1880,September,12.577
North Dakota,1880,May,13.879
North Dakota,1880,June,17.242
North Dakota,1880,August,18.432
North Dakota,1880,July,20.085
North Dakota,1900,February,-15.947
North Dakota,1900,January,-8.542
North Dakota,1900,December,-7.667
North Dakota,1900,November,-6.361
North Dakota,1900,March,-5.911
North Dakota,1900,October,8.842
North Dakota,1900,April,9.332
North Dakota,1900,September,12.8
North Dakota,1900,May,15.126
North Dakota,1900,June,19.386
North Dakota,1900,July,20.12
North Dakota,1900,August,21.168
North Dakota,1920,January,-15.551
North Dakota,1920,February,-10.249
North Dakota,1920,December,-9.163
North Dakota,1920,March,-5.07
North Dakota,1920,November,-2.313
North Dakota,1920,April,0.006
North Dakota,1920,October,9.245
North Dakota,1920,May,12.134
North Dakota,1920,September,15.012
North Dakota,1920,June,16.947
North Dakota,1920,July,20.457
North Dakota,1920,August,20.497
North Dakota,1940,January,-16.234
North Dakota,1940,February,-9.649
North Dakota,1940,December,-6.91
North Dakota,1940,November,-5.668
North Dakota,1940,March,-4.867
North Dakota,1940,April,3.09
North Dakota,1940,October,10.073
North Dakota,1940,May,12.663
North Dakota,1940,September,17.102
North Dakota,1940,June,17.293
North Dakota,1940,August,19.883
North Dakota,1940,July,22.177
North Dakota,1960,January,-13.284
North Dakota,1960,February,-11.675
North Dakota,1960,December,-9.997
North Dakota,1960,March,-8.286
North Dakota,1960,November,-2.175
North Dakota,1960,April,4.966
North Dakota,1960,October,7.775
North Dakota,1960,May,12.555
North Dakota,1960,September,15.078
North Dakota,1960,June,16.472
North Dakota,1960,August,20.475
North Dakota,1960,July,22.157
North Dakota,1980,January,-13.921
North Dakota,1980,February,-10.64
North Dakota,1980,December,-9.418
North Dakota,1980,March,-5.364
North Dakota,1980,November,0.982
North Dakota,1980,October,6.108
North Dakota,1980,April,9.053
North Dakota,1980,September,13.498
North Dakota,1980,May,15.641
North Dakota,1980,August,18.069
North Dakota,1980,June,18.341
North Dakota,1980,July,21.717
North Dakota,2000,December,-16.094
North Dakota,2000,January,-10.753
North Dakota,2000,November,-5.496
North Dakota,2000,February,-5.208
North Dakota,2000,March,2.063
North Dakota,2000,April,5.601
North Dakota,2000,October,8.147
North Dakota,2000,May,13.397
North Dakota,2000,September,14.41
North Dakota,2000,June,16.2
North Dakota,2000,August,20.749
North Dakota,2000,July,21.355
Ohio,1820,January,-5.949
Ohio,1820,December,-3.326
Ohio,1820,February,0.619
Ohio,1820,March,2.743
Ohio,1820,November,2.823
Ohio,1820,October,9.489
Ohio,1820,April,11.069
Ohio,1820,May,15.212
Ohio,1820,September,17.672
Ohio,1820,June,20.74
Ohio,1820,August,21.159
Ohio,1820,July,22.925
Ohio,1840,January,-5.325
Ohio,1840,December,-2.012
Ohio,1840,February,2.918
Ohio,1840,November,4.233
Ohio,1840,March,6.038
Ohio,1840,October,10.996
Ohio,1840,April,12.355
Ohio,1840,September,16.041
Ohio,1840,May,17.189
Ohio,1840,June,21.217
Ohio,1840,August,22.025
Ohio,1840,July,22.956
Ohio,1860,December,-2.97
Ohio,1860,January,-1.661
Ohio,1860,February,-0.91
Ohio,1860,November,3.738
Ohio,1860,March,5.182
Ohio,1860,April,9.612
Ohio,1860,October,11.433
Ohio,1860,September,16.31
Ohio,1860,May,17.538
Ohio,1860,June,20.363
Ohio,1860,August,21.642
Ohio,1860,July,22.382
Ohio,1880,December,-4.606
Ohio,1880,November,0.043
Ohio,1880,February,2.026
Ohio,1880,March,3.459
Ohio,1880,January,4.835
Ohio,1880,October,10.205
Ohio,1880,April,10.74
Ohio,1880,September,17.412
Ohio,1880,May,19.241
Ohio,1880,June,21.508
Ohio,1880,August,22.217
Ohio,1880,July,22.573
Ohio,1900,February,-3.66
Ohio,1900,January,-0.949
Ohio,1900,December,-0.746
Ohio,1900,March,0.386
Ohio,1900,November,5.068
Ohio,1900,April,9.707
Ohio,1900,October,15.325
Ohio,1900,May,16.927
Ohio,1900,September,20.429
Ohio,1900,June,20.88
Ohio,1900,July,23.154
Ohio,1900,August,24.359
Ohio,1920,January,-6.018
Ohio,1920,February,-3.054
Ohio,1920,December,0.373
Ohio,1920,November,4.239
Ohio,1920,March,4.975
Ohio,1920,April,7.377
Ohio,1920,October,14.165
Ohio,1920,May,14.392
Ohio,1920,September,18.844
Ohio,1920,June,20.264
Ohio,1920,August,21
Ohio,1920,July,21.06
Ohio,1940,January,-8.94
Ohio,1940,February,-1.688
Ohio,1940,March,1.492
Ohio,1940,December,2.339
Ohio,1940,November,4.419
Ohio,1940,April,7.675
Ohio,1940,October,11.947
Ohio,1940,May,14.449
Ohio,1940,September,16.723
Ohio,1940,June,21.102
Ohio,1940,August,22.325
Ohio,1940,July,22.954
Ohio,1960,December,-4.138
Ohio,1960,March,-2.944
Ohio,1960,February,-1.658
Ohio,1960,January,-0.315
Ohio,1960,November,6.3
Ohio,1960,October,12.005
Ohio,1960,April,12.275
Ohio,1960,May,14.815
Ohio,1960,September,19.875
Ohio,1960,June,20.179
Ohio,1960,July,21.573
Ohio,1960,August,22.862
Ohio,1980,February,-4.345
Ohio,1980,January,-2.168
Ohio,1980,December,-0.948
Ohio,1980,March,2.15
Ohio,1980,November,4.223
Ohio,1980,April,9.29
Ohio,1980,October,9.839
Ohio,1980,May,16.479
Ohio,1980,June,19.456
Ohio,1980,September,19.503
Ohio,1980,July,23.794
Ohio,1980,August,24.03
Ohio,2000,December,-5.53
Ohio,2000,January,-2.96
Ohio,2000,February,2.253
Ohio,2000,November,4.812
Ohio,2000,March,7.434
Ohio,2000,April,10.05
Ohio,2000,October,13.497
Ohio,2000,May,17.801
Ohio,2000,September,17.984
Ohio,2000,August,21.67
Ohio,2000,June,21.68
Ohio,2000,July,21.813
South Dakota,1820,January,-13.608
South Dakota,1820,December,-10
South Dakota,1820,February,-7.022
South Dakota,1820,March,-2.872
South Dakota,1820,November,-1.413
South Dakota,1820,October,7.138
South Dakota,1820,April,8.138
South Dakota,1820,May,12.978
South Dakota,1820,September,15.1
South Dakota,1820,August,18.979
South Dakota,1820,June,18.991
South Dakota,1820,July,20.062
South Dakota,1840,January,-8.745
South Dakota,1840,February,-6.922
South Dakota,1840,December,-6.123
South Dakota,1840,November,-1.26
South Dakota,1840,March,-0.724
South Dakota,1840,October,5.689
South Dakota,1840,April,6.299
South Dakota,1840,May,14.119
South Dakota,1840,September,14.191
South Dakota,1840,June,19.471
South Dakota,1840,August,19.63
South Dakota,1840,July,22.427
South Dakota,1860,January,-8.884
South Dakota,1860,December,-7.476
South Dakota,1860,February,-6.546
South Dakota,1860,November,-1.041
South Dakota,1860,March,1.994
South Dakota,1860,April,6.39
South Dakota,1860,October,8.342
South Dakota,1860,May,13.799
South Dakota,1860,September,14.522
South Dakota,1860,June,18.927
South Dakota,1860,August,20.342
South Dakota,1860,July,22.078
South Dakota,1880,December,-12.259
South Dakota,1880,November,-6.476
South Dakota,1880,February,-6.134
South Dakota,1880,January,-5.229
South Dakota,1880,March,-3.232
South Dakota,1880,April,5.372
South Dakota,1880,October,6.692
South Dakota,1880,September,14.933
South Dakota,1880,May,15.996
South Dakota,1880,June,19.112
South Dakota,1880,August,21.057
South Dakota,1880,July,22.102
South Dakota,1900,February,-10.152
South Dakota,1900,January,-4.261
South Dakota,1900,December,-3.17
South Dakota,1900,November,-1.908
South Dakota,1900,March,-1.564
South Dakota,1900,April,9.822
South Dakota,1900,October,11.144
South Dakota,1900,September,15.387
South Dakota,1900,May,16.414
South Dakota,1900,June,20.803
South Dakota,1900,July,22.025
South Dakota,1900,August,23.692
South Dakota,1920,January,-8.203
South Dakota,1920,December,-5.525
South Dakota,1920,February,-5.331
South Dakota,1920,March,-1.009
South Dakota,1920,November,-0.771
South Dakota,1920,April,2.149
South Dakota,1920,October,11.066
South Dakota,1920,May,12.915
South Dakota,1920,September,16.716
South Dakota,1920,June,18.148
South Dakota,1920,August,20.606
South Dakota,1920,July,21.692
South Dakota,1940,January,-13.852
South Dakota,1940,February,-6.26
South Dakota,1940,December,-3.443
South Dakota,1940,November,-2.515
South Dakota,1940,March,-1.395
South Dakota,1940,April,5.607
South Dakota,1940,October,12.237
South Dakota,1940,May,13.761
South Dakota,1940,September,19.04
South Dakota,1940,June,19.59
South Dakota,1940,August,21.372
South Dakota,1940,July,24.809
South Dakota,1960,February,-9.14
South Dakota,1960,January,-8.624
South Dakota,1960,December,-6.634
South Dakota,1960,March,-5.815
South Dakota,1960,November,1.326
South Dakota,1960,April,7.52
South Dakota,1960,October,9.889
South Dakota,1960,May,13.569
South Dakota,1960,September,16.841
South Dakota,1960,June,18.052
South Dakota,1960,August,22.213
South Dakota,1960,July,23.636
South Dakota,1980,January,-8.652
South Dakota,1980,February,-6.262
South Dakota,1980,December,-4.46
South Dakota,1980,March,-1.478
South Dakota,1980,November,3.281
South Dakota,1980,October,8.419
South Dakota,1980,April,9.465
South Dakota,1980,May,15.482
South Dakota,1980,September,16.666
South Dakota,1980,June,20.478
South Dakota,1980,August,21.477
South Dakota,1980,July,24.272
South Dakota,2000,December,-11.564
South Dakota,2000,January,-5.902
South Dakota,2000,November,-3.686
South Dakota,2000,February,-1.024
South Dakota,2000,March,4.226
South Dakota,2000,April,7.485
South Dakota,2000,October,10.303
South Dakota,2000,May,14.98
South Dakota,2000,September,17.227
South Dakota,2000,June,18.427
South Dakota,2000,July,23.273
South Dakota,2000,August,23.409
Wisconsin,1820,January,-14.739
Wisconsin,1820,December,-10.75
Wisconsin,1820,February,-7.018
Wisconsin,1820,March,-4.16
Wisconsin,1820,November,-1.539
Wisconsin,1820,October,6.804
Wisconsin,1820,April,7.379
Wisconsin,1820,May,11.875
Wisconsin,1820,September,14.205
Wisconsin,1820,August,17.403
Wisconsin,1820,June,18.055
Wisconsin,1820,July,18.829
Wisconsin,1840,January,-10.903
Wisconsin,1840,December,-6.986
Wisconsin,1840,February,-5.836
Wisconsin,1840,March,-0.651
Wisconsin,1840,November,-0.5
Wisconsin,1840,October,5.814
Wisconsin,1840,April,6.645
Wisconsin,1840,September,12.675
Wisconsin,1840,May,14.595
Wisconsin,1840,August,17.993
Wisconsin,1840,June,18.847
Wisconsin,1840,July,20.373
Wisconsin,1860,January,-9.132
Wisconsin,1860,December,-9.03
Wisconsin,1860,February,-7.492
Wisconsin,1860,November,-1.212
Wisconsin,1860,March,1.234
Wisconsin,1860,April,5.093
Wisconsin,1860,October,7.341
Wisconsin,1860,September,12.225
Wisconsin,1860,May,13.784
Wisconsin,1860,August,17.308
Wisconsin,1860,June,17.521
Wisconsin,1860,July,19.273
Wisconsin,1880,December,-10.689
Wisconsin,1880,February,-6.472
Wisconsin,1880,November,-5.46
Wisconsin,1880,January,-3.504
Wisconsin,1880,March,-2.887
Wisconsin,1880,April,5.42
Wisconsin,1880,October,6.636
Wisconsin,1880,September,13.945
Wisconsin,1880,May,15.772
Wisconsin,1880,June,18.843
Wisconsin,1880,August,19.414
Wisconsin,1880,July,20.294
Wisconsin,1900,February,-12.611
Wisconsin,1900,January,-6.418
Wisconsin,1900,December,-5.756
Wisconsin,1900,March,-5.046
Wisconsin,1900,November,-1.733
Wisconsin,1900,April,8.102
Wisconsin,1900,October,12.86
Wisconsin,1900,May,14.099
Wisconsin,1900,September,15.554
Wisconsin,1900,June,18.016
Wisconsin,1900,July,19.608
Wisconsin,1900,August,22.815
Wisconsin,1920,January,-13.824
Wisconsin,1920,February,-9.248
Wisconsin,1920,December,-4.757
Wisconsin,1920,March,-0.973
Wisconsin,1920,November,-0.022
Wisconsin,1920,April,2.753
Wisconsin,1920,May,12.138
Wisconsin,1920,October,12.262
Wisconsin,1920,September,16.78
Wisconsin,1920,June,18.536
Wisconsin,1920,August,18.548
Wisconsin,1920,July,19.04
Wisconsin,1940,January,-12.713
Wisconsin,1940,February,-6.298
Wisconsin,1940,December,-5.274
Wisconsin,1940,March,-4.743
Wisconsin,1940,November,-0.836
Wisconsin,1940,April,4.546
Wisconsin,1940,October,10.059
Wisconsin,1940,May,11.139
Wisconsin,1940,September,15.996
Wisconsin,1940,June,17.85
Wisconsin,1940,August,19.036
Wisconsin,1940,July,21.307
Wisconsin,1960,December,-7.561
Wisconsin,1960,January,-7.523
Wisconsin,1960,February,-7.063
Wisconsin,1960,March,-6.805
Wisconsin,1960,November,2.408
Wisconsin,1960,April,7.185
Wisconsin,1960,October,8.857
Wisconsin,1960,May,12.315
Wisconsin,1960,September,16.101
Wisconsin,1960,June,16.648
Wisconsin,1960,July,19.775
Wisconsin,1960,August,20.432
Wisconsin,1980,January,-9.295
Wisconsin,1980,February,-9.17
Wisconsin,1980,December,-7.064
Wisconsin,1980,March,-3.332
Wisconsin,1980,November,1.638
Wisconsin,1980,October,6.282
Wisconsin,1980,April,7.375
Wisconsin,1980,May,14.706
Wisconsin,1980,September,14.813
Wisconsin,1980,June,17.678
Wisconsin,1980,August,20.295
Wisconsin,1980,July,21.642
Wisconsin,2000,December,-12.343
Wisconsin,2000,January,-8.945
Wisconsin,2000,February,-3.355
Wisconsin,2000,November,0.769
Wisconsin,2000,March,3.817
Wisconsin,2000,April,6.315
Wisconsin,2000,October,10.682
Wisconsin,2000,May,14.486
Wisconsin,2000,September,15.05
Wisconsin,2000,June,17.485
Wisconsin,2000,July,20.132
Wisconsin,2000,August,20.191